Dis No,Year,Disaster Type
2016-0126-HTI,2016,Flood
2016-0185-HTI,2016,Flood
2016-0094-IDN,2016,Flood
2016-0040-IDN,2016,Flood
2016-0092-IDN,2016,Flood
2016-0345-IDN,2016,Flood
2016-0425-IDN,2016,Flood
2016-0139-IND,2016,Flood
2016-0382-JPN,2016,Storm
2016-0221-JPN,2016,Flood
2016-0153-LKA,2016,Flood
2016-0325-MEX,2016,Flood
2016-0267-NPL,2016,Flood
2016-0112-PAK,2016,Flood
2016-0375-PAK,2016,Flood
2016-0172-CAN,2016,Wildfire
2016-0161-KEN,2016,Flood
2016-0140-CHN,2016,Storm
2016-0230-CHN,2016,Storm
2016-0461-HUN,2016,Flood
2016-0256-CHN,2016,Storm
2016-0342-CHN,2016,Storm
2016-0162-CHN,2016,Landslide
2016-0433-CRI,2016,Storm
2016-0359-EGY,2016,Storm
2016-0141-FJI,2016,Storm
2016-0216-IDN,2016,Landslide
2016-0485-IND,2016,Storm
2016-0324-JPN,2016,Storm
2016-0390-JPN,2016,Storm
2016-0355-LCA,2016,Storm
2016-0319-MEX,2016,Storm
2016-9435-BOL,2016,Drought
2016-9225-KHM,2016,Drought
2016-9052-HTI,2016,Drought
2016-9452-KEN,2016,Drought
2016-9050-LSO,2016,Drought
2016-9020-MDG,2016,Drought
2016-9122-MOZ,2016,Drought
2016-0165-HTI,2016,Flood
2016-0270-PAK,2016,Flood
2016-0179-FRA,2016,Flood
2016-0053-HTI,2016,Flood
2016-0033-BRA,2016,Flood
2016-0300-CAF,2016,Epidemic
2016-0243-CAN,2016,Flood
2016-0118-CHL,2016,Flood
2016-0209-CHN,2016,Storm
2016-0373-CHN,2016,Storm
2016-0480-CHN,2016,Earthquake
2016-0038-CHN,2016,Flood
2016-0194-CHN,2016,Flood
2016-0250-CHN,2016,Landslide
2016-0255-CHN,2016,Landslide
2016-0235-CHN,2016,Storm
2016-0363-CHN,2016,Storm
2016-0364-CHN,2016,Storm
2016-0379-CHN,2016,Storm
2016-0023-CHN,2016,Extreme temperature
2016-0198-CHN,2016,Flood
2016-0233-CHN,2016,Flood
2016-0236-CHN,2016,Flood
2016-0238-CHN,2016,Flood
2016-0257-CHN,2016,Flood
2016-0371-CHN,2016,Storm
2016-0376-CHN,2016,Flood
2016-0389-CHN,2016,Flood
2016-0352-CIV,2016,Flood
2016-0355-CUB,2016,Storm
2016-0179-DEU,2016,Flood
