Dis No,Country,Region,Continent,Location,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs,Insured Damages,Total Damages
2017-0416-GTM,Guatemala,Central America,Americas,"Cuyotenango, San Felipe, San Martín Zapotitlán, San Andrés Villa Seca, San Sebastián, Santa Cruz Muluá, Mazatenango’s urban centre, Colotenango’s urban centre, Calle de la Cruz, Callejón 10, Campo Borrayo municipaliaties; Icán, La otra banda and Tulula cantons; Suchitepéquez Retalhuleu departements",,,10080.0,,10080.0,,,
2017-0449-GTM,Guatemala,Central America,Americas,"Alta Verapaz, El Progreso, Petén, Quiché",,,1000.0,,1000.0,,,
2017-0450-GTM,Guatemala,Central America,Americas,"Chisec, Coban, Panzos, Raxruha, San Cristobal Verapaz, San Juan Chamlco, San Pedro Carcha, Santa Catalina La Tinta, Santa Cruz Verapaz, Tactic, Tucuru municipalities (Alta Verapaz department)",,,31319.0,,31319.0,,,
2017-0216-GUY,Guyana,South America,Americas,"Highland areas and border with Brazil; Cuyuni-Mazaruni (Region Seven), Purima, Kako, Jawalla, Phillipi, Kamarang and Duebamang, Potaro- Siparuni (Region Eight), Kaibarupai, Waipa, Chenapau, Sand Hill Settlement, Itabac and Kanapang",,,3274.0,,3274.0,,,
2017-0485-HKG,Hong Kong,Eastern Asia,Asia,,,,,,,,,
2017-0227-HND,Honduras,Central America,Americas,"Caribbean coast; Trujillo, Tocoa (Colon), Tela, La Ceiba, (Atlantida) Omoa-Cuyamel (Cortes), Laguna de Ibans in La Mosquitia (Brus Laguna), El Progreso (Yoro)",7.0,,400.0,,400.0,,,
2017-0297-HRV,Croatia,Southern Europe,Europe,"Split, municipalities of Srinjine, Žrnovnica, Podstrana and Strožanac",,80.0,,,80.0,,,
2017-0137-HTI,Haiti,Caribbean,Americas,South department,,,,,,,,
2017-0209-HTI,Haiti,Caribbean,Americas,"Grand-Anse, Nippes, Nord-Ouest (Port de Paix), Sud (Les Anglais, Roche-a-Bateaux, Les Cayes)",26.0,,,342.0,342.0,,,
2017-0530-IDN,Indonesia,South-Eastern Asia,Asia,"Jakarta,West Java (Ciamis regency), Central Java (Pekalongan) and Yogyakarta,",4.0,36.0,8859.0,,8895.0,,,
2017-0147-IDN,Indonesia,South-Eastern Asia,Asia,"Magelang district (Nipis, Sambungrejo, Citrosono villages) (Central Java provinces)",12.0,4.0,355.0,,359.0,,,
2017-0576-IDN,Indonesia,South-Eastern Asia,Asia,"East Lombok Regency (West Nusa Tenggara province), Keruak, Jerowaru, Sakra and West Sakra districts",2.0,,2280.0,,2280.0,,,
2017-0177-IDN,Indonesia,South-Eastern Asia,Asia,"Kalimantan (Borneo) and Sulawesi (Celebes): Lampasio, Baolan, Galang, Dako Pamean sub-districts (Toli-toli), Mongkonai area of Kotamugabu City (Bolaangmongondow), districts of Limboto, West Limboto, and Tibawa (Gorontalo), city of Sukadana (Ketapang)",4.0,,282345.0,75.0,282420.0,,,
2017-0102-IDN,Indonesia,South-Eastern Asia,Asia,Ponorogo discrict (Java province),28.0,17.0,,160.0,177.0,,,11000.0
2017-0059-IDN,Indonesia,South-Eastern Asia,Asia,"Jakarta (Bekasi, Jakarta)",2.0,,400.0,,400.0,,,
2017-0393-IDN,Indonesia,South-Eastern Asia,Asia,Bali (Karangasem),,,133349.0,,133349.0,,,
2017-0265-IND,India,Southern Asia,Asia,"Vaishali, Saran, Patna, Gaya, Sasaram (Rohta), Araria, Nalanda districts (Bihar)",23.0,12.0,,,12.0,,,
2017-0569-IND,India,Southern Asia,Asia,"Jamui, Champaran, Vaishali, Samastipur, Bihar",29.0,,1250.0,,1250.0,,,
2017-0570-IND,India,Southern Asia,Asia,Maldah (West Bengal),4.0,20.0,,60000.0,60020.0,,,
2017-0364-IND,India,Southern Asia,Asia,"Mumbai (Dadar, Khar, Bandra, Lalbaug, Kalina, Sion, Byculla, Matunga, Wadala, Parel, Khar-Danda, Pali Hill, Carter Road, Bandra, Ghatkopar, Bhandup, Mulund, and Santacruz), Thane (Maharashtra)",14.0,12.0,,,12.0,,78000.0,300000.0
2017-0495-IND,India,Southern Asia,Asia,Chenai (Tamil Nadu),21.0,,4000.0,,4000.0,,,
2017-0289-IND,India,Southern Asia,Asia,"Lakhimpur, Bangaigaon, Jorhat, Golaghat, Cachar, Dhemjai, Biswanath, Karimganj, Barpeta, Karbi Anglong, Sonitpur, Darrang, Hojai (Sub Division), Bhuragaon (Sub Division), Majuli, Nagaon, Nalbari, Sivasagar, Morigaon, Chirang, Dibrugarh, Dhubri, Kokrajhar, South Salmara, Charaideo, Goalpara districts (Assam)",75.0,,1735000.0,,1735000.0,,,
2017-0046-IND,India,Southern Asia,Asia,"Sonamanrg (Ganderbal district), Gurez Valleys (Jammu and Kashmir state)",28.0,,,,,,,
2017-0266-IND,India,Southern Asia,Asia,"Laptap Village, Papumpare district (Arunachal Pradesh)",22.0,,,,,,,
2017-0483-IND,India,Southern Asia,Asia,"Kotropi, Mandi district (Himachal Pradesh)",46.0,,,100.0,100.0,,,
2017-0144-IND,India,Southern Asia,Asia,"Andhra Pradesh, Telangana, Maharashtra, Odisha (Orissa)",264.0,,,,,,,
2017-0180-IND,India,Southern Asia,Asia,"Lakhimpur, Karimganj, Darrang districts (Assam), Nagaland, Manipur, Jharkhand",6.0,,100000.0,,100000.0,,,
2017-0257-IND,India,Southern Asia,Asia,Gujarat,31.0,,,,,,,
2017-0290-IND,India,Southern Asia,Asia,"Imphal West, Imphal East, Thoubal, Bishnupur (Manipur)",,,12831.0,,12831.0,,,
2017-0294-IND,India,Southern Asia,Asia,"Banaskantha, Valsad, Navsari, Surat, Sabarkantha, Patan (Gujarat), Barmer, Jalore, Udaipur, Sirohi, Pali (Rajasthan), Kolkata (West Bengal)",284.0,,520000.0,,520000.0,,,250000.0
