Dis No,Country,Region,Continent,Location,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs,Insured Damages,Total Damages
2015-0256-NZL,New Zealand,Australia and New Zealand,Oceania,"Horowhenua, Manawatu, Rangitikei, Whanganui areas (Wanganui-manawatu province), Taranaki province",,,400.0,,400.0,,,171000.0
2015-0206-NZL,New Zealand,Australia and New Zealand,Oceania,Wellington province,1.0,,100.0,,100.0,,,100000.0
2015-0476-PAK,Pakistan,Southern Asia,Asia,"Islamabad District district (Islamabad province), Chakwal District, Gujranwala District, Jhang District, Jhelum District, Kasur District, Mianwali District, Multan District, Muzaffargarh District, Narowal District, Rawalpindi District, Sahiwal District, Sargodha District, Sheikhupura District districts (Punjab province), Azad area (Jammu and Kashmir province), North-West Frontier province",280.0,1745.0,366945.0,133900.0,502590.0,,,
2015-0571-PAK,Pakistan,Southern Asia,Asia,Khyber Agency district (Federally Administrered Tribal Areas province),3.0,85.0,,,85.0,,,
2015-0454-PAK,Pakistan,Southern Asia,Asia,"Gulistane Jauhar area (Karachi East District district, Sindh province)",13.0,,,,,,,
2015-0215-PAK,Pakistan,Southern Asia,Asia,Khuzdar district (Balochistan province),20.0,,,,,,,
2015-0124-PAK,Pakistan,Southern Asia,Asia,"Federally Administered Tribal Areas, North-West Frontier, Punjab provinces",32.0,,,,,,,
2015-0333-PAK,Pakistan,Southern Asia,Asia,"Rawalpindi District (Punjab province), Islamabad District (Islamabad province), Jammu and Kashmir provinces",18.0,,,,,,,
2015-0232-PAK,Pakistan,Southern Asia,Asia,"Sindh, Punjab provinces",1229.0,,80000.0,,80000.0,,,
2015-0288-PAK,Pakistan,Southern Asia,Asia,North-West Frontier province,10.0,,,,,,,
2015-0291-PAK,Pakistan,Southern Asia,Asia,"Punjab, Jammu and Kashmir, North-West Frontier, Balochistan, Sindh provinces",238.0,232.0,1572191.0,,1572423.0,,,
2015-0446-PAN,Panama,Central America,Americas,"Panama district (Panama province), Santiago district (Veraguas province)",,,3500.0,,3500.0,,,
2015-9353-PAN,Panama,Central America,Americas,"Coclé, Colón, Kuna Yala, Herrera, Los Santos, Panamá, Bocas del Toro, Chiriquí, Darién, Emberá, Ngöbe Buglé, Veraguas provinces",,,,,,,,
2016-0395-NZL,New Zealand,Australia and New Zealand,Oceania,"Culverden, Kaikoura (Canterbury province), Wellington province",2.0,50.0,,,50.0,,2100000.0,3900000.0
2016-0361-KOR,Korea (the Republic of),Eastern Asia,Asia,"Busan city (Pusan province), Ulsan city (Kyongsangnam-do province), Cheju-do province (Jeju island), Chollanam-do province, Gyeongju city (Kyongsangbuk-do province)",9.0,,1500.0,,1500.0,,,126000.0
2016-0336-NGA,Nigeria,Western Africa,Africa,"Akwa Ibom, Bauchi, Benue, Borno, Cross River, Delta, Kaduna, Kwara, nawarawa, Yobe, Zamfara states",28.0,,1000.0,,1000.0,,,
2016-0433-PAN,Panama,Central America,Americas,"Veraguas, Chiriquí, Colón, Bocas del Toro, Panama Oeste (Capira district, Panama province); Panama, Panama Oeste",7.0,,12000.0,,12000.0,,,
2016-0117-ECU,Ecuador,South America,Americas,"Guayaquil district (Guayas province), Muisne district (Esmeraldas province), Portoviejo district (Manabi province), Santo Domingo de los Tsachilas, Los Ríos, Santa Elena provinces",672.0,6274.0,383090.0,,389364.0,3344000.0,560000.0,2000000.0
2016-0095-CHN,China,Eastern Asia,Asia,"Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng provinces",5.0,,216000.0,3300.0,219300.0,,,170000.0
2016-0340-CHN,China,Eastern Asia,Asia,"Shandong Sheng, Henan Sheng, Fujian Sheng, Hunan Sheng, Guangxi Zhuangzu Zizhiqu, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hebei Sheng, Nei Mongol Zizhiqu, Gansu Sheng, Qinghai Sheng provinces",,,6000.0,,6000.0,,,175000.0
2016-0138-MMR,Myanmar,South-Eastern Asia,Asia,"Sagaing, Madalay, Magway, Shan, Shin provinces",14.0,12.0,,12000.0,12012.0,,,2000.0
2016-0137-CHN,China,Eastern Asia,Asia,"Anhui, Hubei, Fujian, Zhejiang, Jiangxi, Hunan, Guangxi, Yunnan, Guangdong, Guizhou",20.0,,48000.0,,48000.0,,,97000.0
2016-0282-MKD,Macedonia (the former Yugoslav Republic of),Southern Europe,Europe,"Chento, Indzikovo, Singelich, Stajkovci, Smilkovci, Creshevo, Viniche, Strachinci, Stajkovci, Aracinovo villages and communities (Skopje province), Shipkovica, Brodec, Veshala, Poroj villages (Tetovo province)",22.0,60.0,33522.0,,33582.0,,,50000.0
2016-9369-CHN,China,Eastern Asia,Asia,"Jilin Sheng, Heilongjiang Sheng, Shanxi Sheng, Gansu Sheng, Ningxia Huizu Zizhiqu, Nei Mongol Zizhiqu provinces",,,10000000.0,,10000000.0,,1100000.0,3000000.0
2016-0284-MEX,Mexico,Central America,Americas,"Puebla, Veracruz provinces",54.0,,11000.0,,11000.0,,,
2016-0211-NLD,Netherlands (the),Western Europe,Europe,Utrecht province and South,,,,,,,527000.0,844000.0
2016-0041-FJI,Fiji,Melanesia,Oceania,"Savusavu (Cakaudrove district, Northern province, Vanua Levu Isl. and Taveuni Isl.), Bua, Macuata districts (Northern province, Vanua Levu Isl.), Western, Central provinces (Viti Levu, Yasawa, Mamanuca Isl.), Lau district (Eastern province, Vanua Balavu, Nayau Isl.), Lomaiviti district (Eastern province, Koro Isl.)",45.0,144.0,540414.0,,540558.0,,50000.0,600000.0
2016-0061-MAR,Morocco,Northern Africa,Africa,"Figuig district (Oriental province), Azilal district (Tadla - Azilal province, north of the High Atlas region), Taza, Guercif cities (Taza district, Taza - Al Hoceima - Taounate province), Rif region (Al Hoceima district, Taza - Al Hoceima - Taounate province), Boulemane, Sefrou districts (Fès - Boulemane province, Middle Atlas region)",,,750000.0,,750000.0,,,
2016-0424-MEX,Mexico,Central America,Americas,"Ciudad Madero, Tampico, Altamira districts (Tamaulipas province), Catemaco district (Veracruz province), Chihuahua district (Chihuahua province)",2.0,,35000.0,,35000.0,,,
2016-0246-BOL,Bolivia (Plurinational State of),South America,Americas,"Sur Yungas, Nor Yungas, Camacho, Bautista Saavedra districts (La Paz province), Apolo municipality (Franz Tamayo district, La Paz province), Achocalla municipality (Murillo district, La Paz province), Puerto Villaroel municipality (Carrasco district, Cochabamba province), Arani district (Cochabamba province)",,,120.0,,120.0,,,
2016-0077-BRA,Brazil,South America,Americas,"Mairipora, Francisco Morato, Itapevi, Guarulhos, Cajamar districts (Sao Paulo province), Rio de Janeiro province",30.0,,,,,,,100000.0
2016-0350-CHN,China,Eastern Asia,Asia,"Quanzhou district (Fujian Sheng province), Sucun village (Quzhou district, Zhejiang Sheng province), Baofeng village (Lishui district, Zhejiang Sheng province)",35.0,,36000.0,,36000.0,,,830000.0
2016-0241-CHN,China,Eastern Asia,Asia,"Jiangsu, Anhui, Jiangxi, Henan, Hubei, Hunan, Guangxi, Chogqing, Sichuan, Guizhou, Yunnan",289.0,,60000000.0,,60000000.0,,432000.0,22000000.0
2016-0423-DOM,Dominican Republic (the),Caribbean,Americas,"Cabrera district (María Trinidad Sánches province), Luperón, Guananico districts, Cabecera-Cabarete (Puerto Plata province), Gaspar Hernandez district (Espaillat province), La Vega, Monte Cristi, Santiago (Jaico), Valverde, Duarte (Villa Riva, Los Peinados and Los Contreras communities), Hato Mayor, El Seibo provinces",15.0,,2792000.0,,2792000.0,,,
2016-0039-ECU,Ecuador,South America,Americas,"Atacames, Rioverde, Esmeraldas districts (Esmeraldas province)",,,23955.0,,23955.0,,,
2016-0101-ETH,Ethiopia,Eastern Africa,Africa,"Jijiga city (Fafan district, Somali province), Wolayita district (SNNPR province), Afar, Amhara, Tigray, Oromia provinces",28.0,80.0,2000.0,1000.0,3080.0,,,
2016-0186-ETH,Ethiopia,Eastern Africa,Africa,"Wolayita district (SNNPR province), Bale district (Oromia province)",100.0,,490000.0,,490000.0,,,
2016-0407-HND,Honduras,Central America,Americas,"Paraiso, Francisco Morazan, Valle, Choluteca provinces, Tegucigalpa (Yoro district, Yoro province)",,,500.0,,500.0,,,
2016-0356-HND,Honduras,Central America,Americas,"Francisco Morazan, Valle, Choluteca, Paraíso provinces",6.0,,450000.0,,450000.0,,,
2016-0418-HTI,Haiti,Caribbean,Americas,"Cap Haitien district (Nord province), Jeremie district (Grand Anse province)",13.0,2.0,,2780.0,2782.0,,,
2016-0126-HTI,Haiti,Caribbean,Americas,"Port-au-Prince city (Port-au-Prince district, Ouest province)",6.0,10.0,22060.0,,22070.0,,,
2016-0185-HTI,Haiti,Caribbean,Americas,"Leogane, Archahaei districts (Ouest province), Cite Soleil, Carrefour municipalities (Port-au-Prince district, Ouest province)",1.0,3.0,18370.0,,18373.0,,,
2016-0094-IDN,Indonesia,South-Eastern Asia,Asia,"Cicalengka, Rancaekek, Cileunyi, Solokan Jeruk, Majalaya, Ciparay, Baleendah, Dayeuhkolot, Bojongsoang, Pameungpeuk, Banjaran, Arjasri, Cangkuang, Katapang and Kutawaringin districts areas (Bandung, Jawa Barat province)",5.0,,24000.0,,24000.0,,,
2016-0040-IDN,Indonesia,South-Eastern Asia,Asia,"Dharmasraya, Kota Payakumbuh, Kota Solok, Limapuluhkoto, Kota Pasaman, Solok, Solok Selatan, Sawahlunto/sijunjung districts (Sumatera Barat province), Bangka Tengah, Bangka Selatan, Bangka Barat, Kota Pangkalpinang districts (Bangka Belitung province), Kampar, Rokanhulu districts (Riau province), Aceh Besar, Aceh Utara, Pidie (Nangroe Aceh Darussalam province)",8.0,,80313.0,,80313.0,,,2000.0
2016-0092-IDN,Indonesia,South-Eastern Asia,Asia,"Sarolangun district (Jambi province), Cianjur district (Jawa Barat province), Tanahbumbu district (Kalimantan Selatan province), Dki Jakarta, Lampung, Sumatera Selatan, Kalimantan Barat, Sulawesi Selatan provinces",6.0,,12500.0,,12500.0,,,
2016-0345-IDN,Indonesia,South-Eastern Asia,Asia,"Garut, Sumedang districts (Jawa Barat)",53.0,,,8920.0,8920.0,,,22000.0
2016-0425-IDN,Indonesia,South-Eastern Asia,Asia,Gorontalo province (North Sulawesi region),2.0,,4500.0,,4500.0,,,
2016-0139-IND,India,Southern Asia,Asia,"Arunachal Pradesh, Assam, Nagaland provinces",18.0,,100000.0,,100000.0,,,150000.0
2016-0382-JPN,Japan,Eastern Asia,Asia,"Saitama, Hokkaidoo, Tookyoo, Tiba provinces",2.0,70.0,3633.0,,3703.0,,,100000.0
2016-0221-JPN,Japan,Eastern Asia,Asia,Kumamoto province,7.0,,6000.0,,6000.0,,,
2016-0153-LKA,Sri Lanka,Southern Asia,Asia,"Kilinochchi district (Northern province), Colombo district (Western province), Kegalle district (Sabaragamuwa province)",203.0,,301602.0,,301602.0,,104000.0,1200000.0
2016-0325-MEX,Mexico,Central America,Americas,Acapulco (Guerrero state); Chiapas state,3.0,,6000.0,,6000.0,,,
2016-0267-NPL,Nepal,Southern Asia,Asia,"Pyuthan (Rapti), Gulmi, Palpa, Rupandehi (Lumbini), Makwanpur (Narayani), Udaypur (Sagarmatha), Baglung, Setibeni Bazaar (Dhawalagiri), Banke (Bheri), Jhapa (Mechi)",138.0,51.0,10500.0,,10551.0,,,15000.0
2016-0112-PAK,Pakistan,Southern Asia,Asia,"Kohistan, Shangla districts (Khyber Pakhtunkhwa province), Gilgit-Balistan (40409), Azad Kashmir (40408) provinces",92.0,77.0,,,77.0,,,
2016-0375-PAK,Pakistan,Southern Asia,Asia,"Balochistan, Sindh provinces",32.0,,,2900.0,2900.0,,,
2016-0172-CAN,Canada,Northern America,Americas,"Fort McMurray city (Wood Buffalo area, Division No. 16 district, Alberta province)",,,88000.0,,88000.0,,2900000.0,4000000.0
2016-0161-KEN,Kenya,Eastern Africa,Africa,"Nairobi district (Nairobi province); Turkana, Wajir, Marsabit",39.0,,10000.0,,10000.0,,,
2016-0140-CHN,China,Eastern Asia,Asia,"Hubei Sheng, Henan Sheng, Shaanxi Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Shandong Sheng provinces",,49.0,6000.0,,6049.0,,,202000.0
2016-0230-CHN,China,Eastern Asia,Asia,"Shanxi Sheng, Henan Sheng, Hebei Sheng, Hubei Sheng, Sichuan Sheng, Shanxi Sheng, Jilin Sheng, Gansu Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng provinces",12.0,,150000.0,,150000.0,,,768000.0
2016-0461-HUN,Hungary,Eastern Europe,Europe,"Rozsály, Garbolc, Nagyhódos, Méhtelek, Zajta Uszka (Szabolcs-Szatmár-Bereg province)",,,2282.0,,2282.0,,,
2016-0256-CHN,China,Eastern Asia,Asia,Fujian Sheng province,69.0,,,24900.0,24900.0,,,1511160.0
2016-0342-CHN,China,Eastern Asia,Asia,Fujian Sheng province,,,205500.0,,205500.0,,101000.0,2300000.0
2016-0162-CHN,China,Eastern Asia,Asia,"Sanming district (Fujian Sheng province), Guangxi Zhuangzu Zizhiqu, Guangdong Sheng, Zhejiang, Jiangxi, Hubei, Hunan, Chongqing, Sichuan, Guizhou, Yunnan provinces",66.0,,237600.0,,237600.0,,,700000.0
2016-0433-CRI,Costa Rica,Central America,Americas,"Upala, Bagaces, Osa, Golfito, Corredones",9.0,,50000.0,,50000.0,,,
2016-0359-EGY,Egypt,Northern Africa,Africa,"South Sinai, Red Sea, Ismailia, Beni Suef, Qena, Assiut, Suhag provinces",26.0,72.0,32500.0,,32572.0,,,25000.0
2016-0141-FJI,Fiji,Melanesia,Oceania,"Central, Western provinces (Viti Levu Isl.)",2.0,,5000.0,,5000.0,,,
2016-0216-IDN,Indonesia,South-Eastern Asia,Asia,"Banjarnegara, Purworejo (Karangrejo Loano), Kebumen, Sukoharjo, Banyumas, Rembang, Karanganyar, Wonogiri, Wonosobo, Surakarta (Jawa Tengah province, Java Isl.), Padang City (Koto Tangah, Lubuk Bengalung, Nanggalo, Padang Selatan, Padang Burat, Bungus Teluk Kabung, Padang Timur; Lubuk Buaya, Tunggul Hitam, Pangambiran, Ampalu, Banda Gadung, Maransi, Parang Jambu, Jondul, Seberang Padang, Pampang, Seberang Palinggam, Lolong, Bungus and Marapalan villages) (Sumatera Barat)",62.0,,,,,,,25000.0
2016-0485-IND,India,Southern Asia,Asia,Chennai district (Tamil Nadu province); Andhra Pradesh,24.0,,,,,,200000.0,1000000.0
2016-0324-JPN,Japan,Eastern Asia,Asia,Iwate,22.0,,,,,,,
2016-0390-JPN,Japan,Eastern Asia,Asia,"Hyogoo, Miyazaki, Oosaka province",1.0,,6000.0,,6000.0,,,
2016-0355-LCA,Saint Lucia,Caribbean,Americas,"Gros-Islet (Region Number 1 province), Castries, Bexon, Marc, (Region Number 8 province), Dennery (Region Number 3 province), Laborie, Vieux- Fort (Region Number 5 province), Micoud (Region Number 4 province), Choiseul (Region Number 6 province)",,,25000.0,,25000.0,,,
2016-0319-MEX,Mexico,Central America,Americas,"Cabo San Lucas city (La Paz district, Baja California Sur province), Oaxaca, Colima, Jalisco provinces",11.0,,10500.0,,10500.0,,,50000.0
2016-9435-BOL,Bolivia (Plurinational State of),South America,Americas,"Oruro, Cochabamba, Beni provinces",,,665000.0,,665000.0,,,450000.0
2016-9225-KHM,Cambodia,South-Eastern Asia,Asia,"Banteay Meanchey, Battambang, Pursat, Kampong Speu provinces",,,2500000.0,,2500000.0,,,
2016-9052-HTI,Haiti,Caribbean,Americas,"Corail, Anse-D'Ainsault, Jeremie districts (Grande Anse province), Chardonnieres, Coteaux, Aquin, Cayes, Port-Salut districts (Sud province), Anse-A-Veau, Baraderes, Miragoane districts (Nippes province), Gonave, Leogane districts (Ouest province), Belle Anse, Jacmel, Bainet districts (Sud Est province), Croix-des-Bouquets district (Ouest province), Lascahobas, Ceca La Source, Hinche, Mirebalais districts (Centre province), Valliere, Ouanaminthe, Trou du Nord, Fort Liberte districts (Nord Est province), Saint-Raphael, Grande Riviere Du Nord, Limbe, Acul Du Nord districts (Nord province), Gonaives, Marmelade, Gros Morne, Saint-Marc districts (Artibonite province), Mole Saint Nicolas, Port De Paix districts (Nord Ouest province)",,,3600000.0,,3600000.0,,,84000.0
2016-9452-KEN,Kenya,Eastern Africa,Africa,"Kilifi, Kwale, Tana River, Taita Taveta districts (Coast province), Wajir, Mandera districts (North Eastern province), Marsabit, Makueni, Kitui districts (Eastern province), Samburu district (Rift Valley province), Lamu, Baringo, West Poko, Garissa, Tana river, Isiolo, Laikipia, Turkana, Taita Tavetan Makueni, Narok, Embu (Mbeere), Meru, Tharaka Nithi, Nyeri",,,3000000.0,,3000000.0,,,
2016-9050-LSO,Lesotho,Southern Africa,Africa,"Qacha’s Nek, Mokhotlong, Thaba Tseka, Quthing, Mafeteng, Butha Bothe, Berea, Leribe, Maseru, Mohale's Hoek provinces",,,979000.0,,979000.0,,,
2016-9020-MDG,Madagascar,Eastern Africa,Africa,"Ambovombe-Androy, Bekily, Beloha, Tsihombe districts (Androy province), Amboasary-Atsimo, Taolagnaro districts (Anosy province), Ampanihy Ouest, Betioky Atsimo districts (Atsimo Andrefana province)",,,1140000.0,,1140000.0,,,
2016-9122-MOZ,Mozambique,Eastern Africa,Africa,"Magude, Manhiça districts (Maputo province), Massingir, Chibuto, Mabalane districts (Gaza province), Funhaloro, Panda, Govuro districts (Inhambane province), Sofala, Tete",,,2300000.0,,2300000.0,,,
2016-0165-HTI,Haiti,Caribbean,Americas,"Bombardopolis city (Mole Saint Nicolas district, Nord Ouest province), Gonaives district (Artibonite province)",23.0,,,,,,,
2016-0270-PAK,Pakistan,Southern Asia,Asia,Khyber Agency district (Federally Administered Tribal Areas province),26.0,3.0,,,3.0,,,
2016-0179-FRA,France,Western Europe,Europe,"Yvelines, Paris districts (Ile-de-France province), Marne district (Champagne-Ardenne), Manche, Calvados districts (Basse-Normandie province), Orne, Eure, Seine-Maritime (Haute-Normandie province)",5.0,24.0,,,24.0,,1300000.0,2400000.0
2016-0053-HTI,Haiti,Caribbean,Americas,"Cap-Haitien, Limonade cities (Cap Haitien district, Nord province), Grande Anse province",5.0,7660.0,40620.0,,48280.0,,,2000.0
2016-0033-BRA,Brazil,South America,Americas,"Arapongas, Rolândia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irmãos do Buriti, Taquarussu districts (Mato Grosso do Sul province)",3.0,,50500.0,,50500.0,,,100000.0
2016-0300-CAF,Central African Republic,Middle Africa,Africa,"Mourou-Fleuve village (NDjoukou district, Kemo province); Zawara, Danga, Massamba (Damara district); Bangui",21.0,266.0,,,266.0,,,
2016-0243-CAN,Canada,Northern America,Americas,"Chetwynd, Lemoray, Dawson Creek, Link Creek, Braden Road, Mackenzie, Fort St. John cities (Peace River district, British Columbia/Colombie-Britannique province)",,,300.0,,300.0,,,
2016-0118-CHL,Chile,South America,Americas,Metropolitana district (Santiago province),12.0,100.0,,,100.0,,,100000.0
2016-0209-CHN,China,Eastern Asia,Asia,"Jiangsu Sheng, Xinjinag Uygur Zizhiqu, Jilin Sheng, Liaoning Sheng, Beijing Shi provinces",102.0,1000.0,45000.0,,46000.0,,,302000.0
2016-0373-CHN,China,Eastern Asia,Asia,"Fujian, Jiangxi, Henan, Hubei, Hunan, Sichuan, Guizhou, Yunnan, Hebei, Shanxi, Heilongjiang, Nei Mongol Zizhiqu, Liaoning Sheng provinces",23.0,,14400.0,,14400.0,,,23000.0
2016-0480-CHN,China,Eastern Asia,Asia,Xinjinag Uygur Zizhiqu province,1.0,,37200.0,,37200.0,,,5500.0
2016-0038-CHN,China,Eastern Asia,Asia,"Guangdong Sheng, Fujian Sheng, Guangxi Zhuangzu Zizhiqu provinces",11.0,,,3000.0,3000.0,,,20000.0
2016-0194-CHN,China,Eastern Asia,Asia,"Sichuan Sheng, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Jiangxi Sheng, Guangdong Sheng, Fujian Sheng provinces",12.0,,35400.0,8700.0,44100.0,,,447000.0
2016-0250-CHN,China,Eastern Asia,Asia,"Pianpo village (Bijie district, Guizhou Sheng province)",22.0,7.0,,,7.0,,,
2016-0255-CHN,China,Eastern Asia,Asia,Kunlun mountain (Xinjiang Uygur Zizhiqu province),35.0,,,,,,,
2016-0235-CHN,China,Eastern Asia,Asia,"Yancheng city (Jiangsu Sheng province), Xinjinag Uygur Zizhiqu, Jilin Sheng, Liaoning Sheng, Beijing Shi provinces",99.0,846.0,45000.0,,45846.0,,,500000.0
2016-0363-CHN,China,Eastern Asia,Asia,"Hainan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu provinces",,,,,,,,890000.0
2016-0364-CHN,China,Eastern Asia,Asia,Guangdong Sheng province,,,12000.0,,12000.0,,,
2016-0379-CHN,China,Eastern Asia,Asia,"Zhanjiang district (Guangdong Sheng province), Hainan Sheng province",,,40000.0,,40000.0,,,
2016-0023-CHN,China,Eastern Asia,Asia,"Yakeshi city (Hulunbuir district, Nei Mongol Zizhiqu province), Harbin district (Heilongjiang Sheng province), Mohe area (Daxing'anling district, Heilongjiang province), Changsha district (Hunan Sheng province), Changchun district (Jilin Sheng province), Zhejiang Sheng, Beijing Shi, Hainan Sheng, Shanghai Shi provinces",5.0,,,,,,,1600000.0
2016-0198-CHN,China,Eastern Asia,Asia,"Sichuan Sheng, Yunnan Sheng, Guizhou Sheng, Hunan Sheng, Hubei Sheng, Anhui Sheng, Zhejiang Sheng provinces",17.0,,,,,,,69000.0
2016-0233-CHN,China,Eastern Asia,Asia,"Sichuan Sheng, Yunnan Sheng, Chongqing Shi, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Anhui Sheng, Jiangxi Sheng, Guangdong Sheng, Fujian Sheng, Zhejiang Sheng provinces",25.0,,215400.0,39000.0,254400.0,,,664000.0
2016-0236-CHN,China,Eastern Asia,Asia,"Jiangsu Sheng, Zhejiang Sheng, Anhui Sheng, Jiangxi Sheng, Gansu Sheng, Shaanxi Sheng, Qinghai Sheng, Hubei Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hunan, Fujian provinces",68.0,,165000.0,,165000.0,,60000.0,3000000.0
2016-0238-CHN,China,Eastern Asia,Asia,"Chongqing Shi, Hubei Sheng, Sichuan Sheng, Shaanxi Sheng, Henan Sheng, Yunnan Sheng, Anhui Sheng, Zhejiang Sheng, Jiangsu Sheng, Guizhou Sheng provinces",34.0,,150000.0,,150000.0,,,675000.0
2016-0257-CHN,China,Eastern Asia,Asia,"Beijing Shi, Hebei Sheng, Shanxi Sheng, Inner Mongolia, Tianjin Shi, Shandong Sheng , Henan Sheng, Liaoning, Jilin, Heilongjiang",289.0,,375000.0,,375000.0,,80000.0,4500000.0
2016-0371-CHN,China,Eastern Asia,Asia,Guangdong Sheng province,,,18000.0,,18000.0,,,123000.0
2016-0376-CHN,China,Eastern Asia,Asia,"Hunan Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng provinces",23.0,,36900.0,,36900.0,,,130000.0
2016-0389-CHN,China,Eastern Asia,Asia,"Sichuan Sheng, Yunnan Sheng provinces",23.0,,,1500.0,1500.0,,,21000.0
2016-0352-CIV,Côte d’Ivoire,Western Africa,Africa,"Danané region (Tonkpi district, Montagnes province)",20.0,,,,,,,
2016-0355-CUB,Cuba,Caribbean,Americas,"Baracoa, Imias, Maisi, San Antonio del Sur districts (Guantanamo province)",,,190000.0,,190000.0,,,2600000.0
2016-0179-DEU,Germany,Western Europe,Europe,"Simbach am Inn, Triften, Tann, Regen cities (Niederbayern district, Bayern province)",7.0,,,,,,830000.0,2000000.0
2016-0355-DOM,Dominican Republic (the),Caribbean,Americas,"Azua, San José de Ocoa, San Juan de la Maguana, Pedernales, Barahona, Independencia, Dajabon, Monte Cristi, Bahoruco, Elias Pina, San Cristobal, Peravia, Santiago Rodriguez, Puerto Plata, Valverde, Santo Domingo, Distrito Nacional, Monsenor Noel, Sanchez Ramirez, Monte Plata, La Vega",,,,,,,,
2016-0184-DOM,Dominican Republic (the),Caribbean,Americas,"Santo Domingo, La Romana cities",,,,,,,,
2016-0151-ECU,Ecuador,South America,Americas,"Esmeraldas district (Esmeraldas province), Portoviejo district (Manabi province)",1.0,87.0,60.0,,147.0,,,
2016-0032-ECU,Ecuador,South America,Americas,"Guayas, Bolívar, Esmeraldas, Cotopaxi, Los Ríos, Manabí, Imbabura, Santo Domingo de los Tsáchilas, El Oro provinces",9.0,,10000.0,,10000.0,,,10000.0
2016-0496-ESP,Spain,Southern Europe,Europe,"Los Alcázare, Murcia, San Javier cities (Murcia district, Aragon province), Valencia, Castello district (Comunitat Valenciana province), Balears Isl. district (Illes Balears province); Granada, Almeria, Alicante,Terual,",5.0,,150.0,,150.0,,,50000.0
2016-9495-FSM,Micronesia (Federated States of),Micronesia,Oceania,"Yap, Chuuk regions",,,100000.0,,100000.0,,,
2016-0394-GHA,Ghana,Western Africa,Africa,"Cape Coast Municipal, Abura Asebu Kwamankese, Komenda Edina Eguafo Abrem, Twifo Hermang, Asekuma Odoben Brakwa, Mfantseman districts",,172.0,,,172.0,,,
2016-0212-GHA,Ghana,Western Africa,Africa,"Kwame Nkrumah Circle, Airport Residential area, Dzorwulu, Tse Addo (Accra Metropolis district, Greater Accra province), Tema Metropolis district (Greater Accra province)",10.0,,,,,,,
2016-0334-GRC,Greece,Southern Europe,Europe,"Kalamata, Thessaloniki cities (Peloponnesse)",4.0,,200.0,,200.0,,,56000.0
2016-0318-GTM,Guatemala,Central America,Americas,Villa Nueva,10.0,1.0,45.0,,46.0,,,
2016-0284-GTM,Guatemala,Central America,Americas,"Petén, Izabal provinces",,,55.0,,55.0,,,
2016-0284-HND,Honduras,Central America,Americas,"Islas De Bahía, Colon, Gracias A Dios, Cortés",1.0,,151.0,,151.0,,,
2016-0355-HTI,Haiti,Caribbean,Americas,"Grand’Anse (Jérémie), South (Les Cayes, Les Anglais and Tiburon municipalities), Nippes, South East, West (Leogane, Port-au-Prince) and North West departments, Les Cayes",546.0,439.0,2100000.0,,2100439.0,,,2000000.0
2016-0404-HTI,Haiti,Caribbean,Americas,"Sud, Grand'Anse deprtaments",,6096.0,,,6096.0,,,
2016-0184-HTI,Haiti,Caribbean,Americas,"Baradère (Nippes), Savanette, Petit-Fond (Lascahobas)",5.0,,3000.0,,3000.0,,,
2016-0019-IDN,Indonesia,South-Eastern Asia,Asia,"Maluku, Maluku Utara provinces",,8.0,360.0,,368.0,,,
2016-0458-IDN,Indonesia,South-Eastern Asia,Asia,Dompu district (Nusatenggara Barat Province),,,3410.0,,3410.0,,,
2016-0475-IDN,Indonesia,South-Eastern Asia,Asia,"Pidie Jaya district (Nangroe Aceh Darussalam province, Sumatra Isl.)",104.0,857.0,85161.0,,86018.0,,,100000.0
2016-0479-IDN,Indonesia,South-Eastern Asia,Asia,"Karawang, Bandung districts (Jawa Barat province)",5.0,,19669.0,,19669.0,,,
2016-0156-IDN,Indonesia,South-Eastern Asia,Asia,"Sibolangit (Deli Serdang district, Sumatera Utara province, Sumatra Isl.)",15.0,,,,,,,
2016-0057-IDN,Indonesia,South-Eastern Asia,Asia,"Jambi; Sanggau, Sambas, Bengkayang, Landak districts (West Kalimantan); Pasuruan (East Java Province); Garut (West Java Province)",,,30000.0,,30000.0,,,
2016-0306-IDN,Indonesia,South-Eastern Asia,Asia,"Andowia, Asera, Lasolo sub-districts (North Konawe regency - Southeast Sulawesi)",,,1354.0,,1354.0,,,
2016-0234-IND,India,Southern Asia,Asia,"Muzaffarpur, Patna, Siwan districts (Bihar province)",11.0,,,,,,,
